"FileName","DateTime","Lat","Long"
"FileName","2019:06:10 08:29:26","34.1326","-119.17676"
"FileName","2019:06:10 08:30:08","34.13223","-119.1767"
"FileName","2019:06:10 08:26:08","34.13263","-119.17722"
"FileName","2019:06:10 08:28:05","34.13253","-119.17694"
"FileName","2019:06:10 08:27:23","34.13267","-119.17706"
"FileName","2019:06:10 08:28:02","34.13262","-119.17691"
"FileName","2019:06:10 08:26:11","34.13254","-119.17725"
"FileName","2019:06:10 08:30:11","34.13214","-119.17672"
"FileName","2019:06:10 08:29:29","34.13269","-119.17674"
"FileName","2019:06:10 08:30:05","34.13233","-119.17667"
"FileName","2019:06:10 08:29:23","34.13251","-119.17678"
"FileName","2019:06:10 08:28:47","34.13143","-119.17706"
"FileName","2019:06:10 08:26:47","34.13161","-119.17733"
"FileName","2019:06:10 08:27:26","34.13276","-119.17703"
"FileName","2019:06:10 08:28:08","34.13243","-119.17696"
"FileName","2019:06:10 08:28:11","34.13234","-119.17698"
"FileName","2019:06:10 08:27:29","34.13285","-119.17701"
"FileName","2019:06:10 08:26:44","34.13163","-119.17737"
"FileName","2019:06:10 08:26:02","34.13282","-119.17718"
"FileName","2019:06:10 08:28:44","34.13144","-119.17708"
"FileName","2019:06:10 08:29:20","34.13242","-119.17681"
"FileName","2019:06:10 08:30:02","34.13242","-119.17665"
"FileName","2019:06:10 08:29:14","34.13223","-119.17685"
"FileName","2019:06:10 08:29:50","34.13278","-119.17656"
"FileName","2019:06:10 08:29:32","34.13279","-119.17671"
"FileName","2019:06:10 08:27:14","34.13239","-119.17713"
"FileName","2019:06:10 08:25:50","34.13319","-119.17708"
"FileName","2019:06:10 08:27:41","34.13314","-119.17694"
"FileName","2019:06:10 08:27:59","34.13271","-119.17689"
"FileName","2019:06:10 08:27:56","34.13281","-119.17686"
"FileName","2019:06:10 08:27:38","34.13313","-119.17694"
"FileName","2019:06:10 08:25:53","34.1331","-119.1771"
"FileName","2019:06:10 08:25:35","34.1332","-119.17724"
"FileName","2019:06:10 08:27:17","34.13248","-119.17711"
"FileName","2019:06:10 08:29:35","34.13288","-119.17669"
"FileName","2019:06:10 08:29:53","34.13269","-119.17658"
"FileName","2019:06:10 08:29:17","34.13232","-119.17683"
"FileName","2019:06:10 08:29:41","34.13295","-119.17666"
"FileName","2019:06:10 08:29:59","34.13251","-119.17663"
"FileName","2019:06:10 08:25:59","34.13291","-119.17715"
"FileName","2019:06:10 08:25:41","34.13332","-119.1772"
"FileName","2019:06:10 08:27:50","34.13299","-119.17682"
"FileName","2019:06:10 08:27:32","34.13294","-119.17699"
"FileName","2019:06:10 08:27:35","34.13304","-119.17696"
"FileName","2019:06:10 08:27:53","34.1329","-119.17684"
"FileName","2019:06:10 08:25:38","34.13329","-119.17721"
"FileName","2019:06:10 08:25:56","34.133","-119.17713"
"FileName","2019:06:10 08:29:56","34.1326","-119.1766"
"FileName","2019:06:10 08:29:38","34.13296","-119.17667"
"FileName","2019:06:10 08:30:23","34.13177","-119.17682"
"FileName","2019:06:10 08:31:05","34.1318","-119.17665"
"FileName","2019:06:10 08:31:02","34.13171","-119.17668"
"FileName","2019:06:10 08:30:20","34.13186","-119.17679"
"FileName","2019:06:10 08:31:08","34.1319","-119.17663"
"FileName","2019:06:10 08:30:26","34.13168","-119.17684"
"FileName","2019:06:10 08:30:29","34.13159","-119.17686"
"FileName","2019:06:10 08:31:11","34.13199","-119.1766"
"FileName","2019:06:10 08:30:59","34.13162","-119.1767"
"FileName","2019:06:10 08:30:41","34.13131","-119.17688"
"FileName","2019:06:10 08:30:38","34.13134","-119.17693"
"FileName","2019:06:10 08:30:56","34.13153","-119.17672"
"FileName","2019:06:10 08:30:32","34.13149","-119.17689"
"FileName","2019:06:10 08:30:50","34.13135","-119.17677"
"FileName","2019:06:10 08:30:53","34.13143","-119.17675"
"FileName","2019:06:10 08:30:35","34.1314","-119.17691"
"FileName","2019:06:10 08:31:20","34.13227","-119.17653"
"FileName","2019:06:10 08:30:44","34.13125","-119.17679"
"FileName","2019:06:10 08:30:47","34.13125","-119.17679"
"FileName","2019:06:10 08:31:23","34.13236","-119.17651"
"FileName","2019:06:10 08:31:17","34.13217","-119.17656"
